Entry format

Num AJB_ID Author [and author [and…]] [ed.|comp.], Title, Place, Publisher, year, description, price, review [and review [and …]], comments
140 58.11(3).61 , Publikationen der 13 astrometrischen Konferenze der UdSSR, Moskau-Leningrad, Verlag Akad. Wiss. UdSSR, 1958, 92 pp, , , in Russian;

141 58.11(3).62 R. K.Landshoff ed., Review of Magneto-Hydrodynamics, , , , , , Obs 78 261, reference AJB 57.11.86;

142 58.11(3).63 , Probleme des Plasmas in Physik und Astronomie, Berlin, Akademie-Verlag, 1958, 223 pp, , Ann d’Astrophy 22 931 and Coelum 27 27 and ZfA  47 267, 

143 58.11(3).65 H. G. Houghton ed., Atmospheric Explorations, Cambridge MA, Technology Press, 1958, 10+125 pp, $6.50, Ann d’Astrohys 21 166 and J RAS Canada 52 282 and Publ ASP 70 521, also published New York: John Wiley & Sons;

144 58.11(3).68 , Problème de populations stellaires et de structure de la galaxie, Paris, Centre National Rech. Sci., 1957, 99 pp, frs. 700, , 

145 58.11(3).69 D. J. K. O’Connell ed., Stellar Populations, Amsterdam, North Holland Publishing Co., 1958, 17+544 pp, , Irish AJ 5 154 and J RAS Canada 53 45 and NAT 1958 140 and Nature 185 412 and Obs 79 26 and Proc. Phys. Soc. 73 830 and Sky Tel. 18 162 and Sky Tel. 18 338, also published New York: Interscience Publishers Inc.;

146 58.11(3).94 R. Stoops ed., La structure et l’évolution de l’univers, Bruxelles, Coudenberg, 1958, 312 pp, f. 440, , 

147 58.13(0).11 P. Duhem, Histoire des Doctrines Cosmologiques de Platon à Copernic Tome 8, Paris, Hermann & Cie, 1958, 512 pp, fr. 3400, Nature 183 964, 

148 58.13(0).35 A. Kauffeldt, Nikolaus Kopernikus comma Der Umsturz des mittelalterlichen Weltbildes, Leipzig-Jena, Urania-Verlag, 1958, 145 pp, DM 2.00, , 

